timestamp,value,anomaly
2014-04-10 04:34:00,1046040.0,-1
2014-04-10 04:39:00,1477550.0,-1
2014-04-10 10:54:00,4119680.0,-1
2014-04-10 20:09:00,3918490.0,-1
2014-04-10 21:49:00,1002760.0,-1
2014-04-10 22:39:00,949974.0,-1
2014-04-11 17:59:00,3359020.0,-1
2014-04-11 18:09:00,3561460.0,-1
2014-04-11 18:39:00,1163670.0,-1
2014-04-11 18:59:00,3360440.0,-1
2014-04-11 19:09:00,3378150.0,-1
2014-04-11 19:39:00,1190060.0,-1
2014-04-11 19:59:00,3410280.0,-1
2014-04-11 20:09:00,3391730.0,-1
2014-04-12 03:09:00,4206500.0,-1
2014-04-13 03:44:00,1240180.0,-1
2014-04-15 16:44:00,13429000.0,-1
2014-04-15 16:49:00,6603090.0,-1
2014-04-15 16:54:00,138797000.0,-1
2014-04-15 17:09:00,245126000.0,-1
2014-04-15 17:14:00,63229300.0,-1
2014-04-15 20:34:00,1135620.0,-1
2014-04-15 21:19:00,10957300.0,-1
2014-04-15 22:34:00,1101060.0,-1
2014-04-16 17:54:00,1081540.0,-1
2014-04-16 18:14:00,1094490.0,-1
2014-04-16 19:59:00,757693.0,-1
2014-04-16 20:14:00,1017170.0,-1
2014-04-16 20:59:00,1041190.0,-1
2014-04-16 21:14:00,859607.0,-1
2014-04-17 02:09:00,917486.0,-1
2014-04-17 16:09:00,980290.0,-1
2014-04-17 16:44:00,1612430.0,-1
2014-04-17 19:44:00,920637.0,-1
2014-04-17 20:09:00,799628.0,-1
2014-04-17 21:44:00,828152.0,-1
2014-04-17 22:09:00,815393.0,-1
2014-04-17 22:44:00,902288.0,-1
2014-04-18 00:44:00,907772.0,-1
2014-04-18 07:29:00,907681.0,-1
2014-04-22 16:04:00,1246660.0,-1
